id,first_author,year,venue,cohorts,task,best_model,split_unit,best_metric_name,best_metric,calibration,external_validation,shared_controls_flag,code,confidence,source,extraction_basis
S01,Garcia-Ceja,2018,ACM MMSys (dataset paper),DEPRESJON,depressed vs control,Random forest / DNN,participant (leave-one-patient-out),F1,0.73,no,no,nan,yes,high,doi:10.1145/3204949.3208125,full text
S02,Zanella-Calzada,2019,Diagnostics,DEPRESJON,depressed vs control,Random forest,day/window,accuracy,0.89,no,no,nan,no,medium (verify),Feature extraction in motor activity signal (Diagnostics 2019),abstract/metadata
S03,Frogner,2019,ACM MMHealth,DEPRESJON,depressed vs control,1D-CNN,participant (leave-one-participant-out),F1,n.r.,no,no,nan,no,medium (verify),doi:10.1145/3347444.3356238,abstract/metadata
S04,Jakobsen,2020,PLOS One,DEPRESJON,depressed vs control,Random forest / DNN / CNN,participant (leave-one-out),accuracy,n.r.,no,no,nan,no,medium (verify),doi:10.1371/journal.pone.0231995,abstract/metadata
S05,Jakobsen,2020,IEEE CBMS (dataset paper),PSYKOSE,schizophrenia vs control,Classical ML,participant (leave-one-patient-out),F1,n.r.,no,no,recognised (same study),yes,high,doi:10.1109/CBMS49503.2020.00064,full text
S06,Hicks,2021,ACM MMSys (dataset paper),HYPERAKTIV,ADHD vs clinical control,Classical ML,unstated (10-fold on features),accuracy,n.r.,no,no,nan,yes,high,doi:10.1145/3458305.3478454,full text
S07,Rodriguez-Ruiz,2022,Diagnostics,DEPRESJON,depressed vs control,2D-CNN,day/window,accuracy,0.767,no,no,nan,no,medium,PMC9495338,abstract/metadata
S08,Rodriguez-Ruiz,2022,Healthcare,DEPRESJON+PSYKOSE,depressive vs schizophrenic vs control (night signal),CNN,day/window,accuracy,n.r.,no,no,not stated,no,medium (verify),PMC9318635,abstract/metadata
S09,Kumar,2022,ICSCC / IEEE conf.,DEPRESJON,depressed vs control,ML on autoregressive features,unstated,accuracy,0.78,no,no,nan,no,low (verify),ResearchGate 362753700,abstract/metadata
S10,Ahmed (arXiv),2023,arXiv 2303.07847,DEPRESJON,depressed vs control,Transfer learning ensemble,modified leave-one-out,accuracy,0.96,no,claims independent set,nan,no,medium (verify),arXiv:2303.07847,abstract/metadata
S11,Hybrid RF-ANN (arXiv),2023,arXiv 2310.09277,DEPRESJON,depressed vs control,RF-ANN ensemble,unstated,accuracy,n.r.,no,no,nan,no,low (verify),arXiv:2310.09277,abstract/metadata
S12,UMAP study,2023,Diagnostics,DEPRESJON,unipolar vs bipolar vs control,ML + UMAP,unstated,accuracy,n.r.,no,no,nan,no,low (verify),PMC10377958,abstract/metadata
S13,Genetic-algorithm feature selection,2023,Computacion y Sistemas,DEPRESJON,depressed vs control,GA feature selection + classifier,day/window (intervals),accuracy,n.r.,no,no,nan,no,low (verify),SciELO S0188-95322023000400038,abstract/metadata
S14,Attention CNN (IoMT),2023,Multimedia Tools Appl,PSYKOSE,schizophrenia vs control,Deep CNN + attention,day/window,accuracy,n.r.,no,no,nan,no,low (verify),doi:10.1007/s11042-023-17119-6,abstract/metadata
S15,Multi-branch DL,2024,Soft Computing,PSYKOSE,schizophrenia vs control,Multi-branch deep network,day/window,accuracy,0.92,no,no,nan,no,medium,doi:10.1007/s00500-024-09832-7,abstract/metadata
S16,DL + XAI,2024,Biomed Signal Process Control,PSYKOSE (+DEPRESJON),psychotic vs control,Deep network + XAI,day/window (24-h segments),accuracy,0.94,no,no,not stated,no,medium,doi:10.1016/j.bspc.2024.105907 (verify),abstract/metadata
