cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_auroc_est,subject_auroc_est,window_accuracy_est,subject_accuracy_est,window_macro_f1_est,subject_macro_f1_est,window_brier_est,subject_brier_est,window_calibration_slope_est,subject_calibration_slope_est,window_calibration_intercept_est,subject_calibration_intercept_est,window_ece_est,subject_ece_est
depresjon,majority,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.6528046421663444,1.1702778228589004e-16,0.5,0.0,0.3949678174370977,0.0,0.0,0.0,0.4816382956772929,0.0001967776580185,0.3368179010369673,0.000138132517203,0.2267822562951616,1.591988539128677e-06,-4.013961247687995,0.0007833096952107,-0.0002122347893089,2.6209490643858767e-06,4.810161941163349e-05,5.940025261528585e-07,55.0,0.0,0.4181818181818181,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.4334239130434782,0.0086644594518609,0.3812655617223101,0.003408461883652,0.2486870351078375,1.623794445876534e-07,-10.59743706394422,0.1289212438831369,0.3011263602682411,2.7995049022773777e-07,0.0709768400242801,1.1880050520325625e-07,55.0,0.0,0.2921156900328968,0.6526288526346561,0.2999126956580485,0.550993300579685,0.5129429237236917,0.7680809755971049,0.4722222222222222,0.6756756756756757,0.3390517084462116,0.4344335395256067,0.320754716981132,0.4032258064516129,0.1915387276280649,0.269233629978296,0.2199987226963567,0.2820373694358601,-83.35990396784638,55.86975917150048,-83.43930536645266,17.82558116546031,0.465156298359641,0.42255434782608703,0.6528046421663443,0.5818181818181818,0.39496781743709775,0.367816091954023,0.22677358097233546,0.2486778192573529,-9.915762226913824,-29.405117078972932,-0.00021222666544624188,0.30111363195847407,4.810161941154467e-05,0.07097684002428023
depresjon,majority,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.6528046421663444,1.1702778228589004e-16,0.5,0.0,0.3949678174370977,0.0,0.0,0.0,0.4988857938718664,0.0,0.3466939744916452,0.0,0.2266516371473788,0.0,0.2850281916619615,0.0,3.3649657196493204e-06,0.0,7.626712489328114e-07,0.0,55.0,0.0,0.4181818181818181,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.4826086956521738,0.0260312282167029,0.4524792070430242,0.024897638274801,0.2483472668723034,2.439079556668665e-06,0.1490229446018919,3.0008374860622498e-05,0.3011565496881022,2.0033255425685176e-05,0.0709882567909433,4.540480289868664e-06,55.0,0.0,0.4590764546608057,0.5275138983966348,0.2952999807223487,0.555304814929987,0.5129429237236917,0.7680809755971049,0.4722222222222222,0.6756756756756757,0.3390517084462116,0.4344335395256067,0.320754716981132,0.4032258064516129,0.1914173087070681,0.2693922832867851,0.2196624673830171,0.2818401529694436,0.0233211552627856,0.5404815895252758,-0.0502258307528915,0.3313221110904144,0.49143299288146086,0.4266304347826087,0.6528046421663443,0.5818181818181818,0.39496781743709775,0.367816091954023,0.2266515483140813,0.2483472614879763,0.2850289716280662,0.14902295789872422,3.3649644007254816e-06,0.30115654221802923,7.626712488773002e-07,0.0709882567909435
depresjon,majority,inflation,,,,,,,,,,,,,,,0.0262766945218198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1470657947390752,0.2181096198424169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006793478260869,,,,,,,,,,,,,,,,-0.1909868777056277,0.2024391821946169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
depresjon,logreg,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7222437137330754,0.0081401491177751,0.7174282471886928,0.0073147527647241,0.7059798927415047,0.0076609198715372,0.4199030946389582,0.0143920708624079,0.7650873826472713,0.0186680672482104,0.6199468046789116,0.0120877780572981,0.1940633241162612,0.0051812042108524,0.5241674755473161,0.0959728974184924,-0.5368053305091475,0.0736176137642367,0.117858822464203,0.018457590408158,55.0,0.0,0.4181818181818181,0.0,0.8254545454545454,0.0259971037448814,0.8255434782608695,0.0290099110357267,0.8219816319474541,0.0270214305167417,0.647126274351967,0.0561211831788428,0.8877717391304347,0.014968965129034,0.8847681322463146,0.0176255433897842,0.1511860938426689,0.0047350621376956,1.8826350315217448,0.5850084413810543,-0.2670364439910871,0.0642698071145191,0.183272773278526,0.0372631904079902,55.0,0.0,0.6747648701423024,0.8606364186182001,0.8224609472640445,0.96854460711331,0.6447455101240378,0.7830126527053047,0.7352941176470589,0.8888888888888888,0.6251716473083551,0.7741840130207144,0.7327758510219428,0.8983053988419681,0.1510723952658003,0.233933011160625,0.1205172533266563,0.1735963672774615,0.3491038772679448,1.028514270561527,1.5779995619720186,4.830037845330611,0.7794697204167957,0.8994565217391304,0.7195357833655706,0.8181818181818182,0.7024171043177605,0.8151881720430108,0.18667737846435456,0.14712442799218414,0.6905676019576797,2.30574419586347,-0.5142481395366578,-0.262914212945807,0.10182512428620348,0.14774852394757054
depresjon,logreg,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7613152804642167,0.0071039115516901,0.7671102857732384,0.0073093987858042,0.7496934026067429,0.007241217355933,0.512730537735915,0.0141751546419547,0.8396294232951614,0.0033770563772123,0.7100068744702888,0.0098569677599509,0.1633767340808941,0.0019543695585238,0.9034738742072994,0.0379617981273942,-0.6161515155387931,0.0148531108016103,0.0949983750129216,0.0021331912074652,55.0,0.0,0.4181818181818181,0.0,0.8709090909090909,0.0180805259274864,0.875,0.0183577610502819,0.8690428687694121,0.0182144451136493,0.7423769505160112,0.0361852423497258,0.9608695652173914,0.0032533124992876,0.95114649581816,0.0036687993441448,0.1240754876339644,0.0012365604532262,4.365435023087502,0.178493414728048,-0.3467956717349069,0.0118711486974852,0.1905870594115221,0.011575132869911,55.0,0.0,0.7811390855802215,0.8961673335542585,0.926507444278022,0.9900773852970808,0.7132850600443363,0.8212129559208985,0.8,0.9411764705882352,0.6997774083921257,0.8191428300254318,0.7993447993447993,0.9404562949231232,0.1316035516050684,0.1897666510049912,0.1050188201592348,0.1429908380490017,0.6796498270096123,1.244638163978267,3.392985918053271,8.239663161185225,0.8446053853296193,0.9646739130434783,0.7707930367504836,0.8727272727272727,0.760232939719216,0.8711943793911007,0.16050804863222842,0.12390247428110357,0.9768250405850161,4.484569474841477,-0.6052945764377597,-0.3464875720428843,0.09499837501292158,0.18475883794694462
