cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_auroc_est,subject_auroc_est,window_accuracy_est,subject_accuracy_est,window_macro_f1_est,subject_macro_f1_est,window_brier_est,subject_brier_est,window_calibration_slope_est,subject_calibration_slope_est,window_calibration_intercept_est,subject_calibration_intercept_est,window_ece_est,subject_ece_est
depresjon,cnn1d,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.6210831721470019,0.0342911182117252,0.6050638605178996,0.0291335949219956,0.5958654782671524,0.0290043035932387,0.2056064649547654,0.0557016501572094,0.6112708139894769,0.0326201110891345,0.4701550153653763,0.0401334486441896,0.3130645475349956,0.0418246474862579,0.1166909696263803,0.0579898576322987,-1.796485533276029,1.98202626739298,0.2535507969638261,0.0567099019770562,55.0,0.0,0.4181818181818181,0.0,0.5745454545454545,0.066307572832038,0.573233695652174,0.064117263869496,0.5671716496310053,0.0660669646011947,0.1463464095985569,0.1276598758186606,0.6244565217391305,0.051411865737039,0.5843867986105851,0.0321654176190592,0.2898898884049106,0.0457947821469582,0.2007070269761663,0.1087350757351984,-0.6468785719354366,0.8451493429150165,0.2571000346794343,0.0626984247183637,55.0,0.0,0.5763307457991552,0.7952046360870351,0.633553458336881,0.84375,0.5530955379118108,0.7247208978754089,0.6176470588235294,0.8108108108108109,0.5455901625356764,0.7163386321762519,0.6136363636363636,0.8096153846153846,0.1872554412935349,0.2675096774118974,0.1792073767243366,0.2411889340300401,0.1009752220193253,1.0366893528974328,0.5633149625065759,2.03715082727539,0.6962550294026617,0.7377717391304347,0.6411992263056093,0.7090909090909091,0.627967736398188,0.7043010752688172,0.2249442022427595,0.21169147876439737,0.5159282891728763,1.1458727541195899,-0.6667068391427186,-0.4120324227823054,0.13824077425762082,0.16769384207003
depresjon,cnn1d,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.6632495164410058,0.0425389021198921,0.6107578665015991,0.0357330348131669,0.6127112767780292,0.0371136008523108,0.236575293701632,0.0826639630931637,0.6154206128133705,0.0499183664280174,0.5185108686400912,0.0486560242651021,0.2737174746864385,0.0488984508089286,0.1605310996622636,0.1535276003213249,-0.1882544926788218,0.5892758084053458,0.2058265171971836,0.0829060424358319,55.0,0.0,0.4181818181818181,0.0,0.730909090909091,0.0487869376909045,0.6929347826086957,0.0605782497868282,0.6892267922298883,0.0682975800505011,0.4564430883865732,0.1065518031893577,0.819836956521739,0.0556949219099869,0.7681811920597499,0.0976330176731933,0.1924422903651081,0.0169690211485955,2.4399720754519025,0.5984510251178429,0.1683344908266216,0.336850855874364,0.1510555963489142,0.040947391025822,55.0,0.0,0.6707926965077373,0.7844019480940878,0.8369135481464188,0.9586466165413534,0.6318822152604109,0.7751700083484487,0.6571428571428571,0.8285714285714286,0.6012191884539273,0.6989473589147093,0.586248068848312,0.786755381568621,0.163752811947347,0.2374525626293678,0.1578241701280671,0.205020699556446,0.6168712505264169,1.2077838166790424,3.8045538852905567,7.446418726689884,0.7288641287527082,0.9116847826086956,0.7108317214700194,0.7454545454545455,0.6507052755856584,0.6915064102564102,0.19377996126451233,0.1815652708133409,0.9124229048916874,5.114012105941552,-0.06739069364356284,0.14493905431167972,0.031877359708459244,0.1774693784591839
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,0.0326090993500465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.062686677199614,0.1217304960664334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739130434782608,,,,,,,,,,,,,,,,0.0666447368421052,0.2698496240601504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,0.06963249516441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0275328091637834,0.1591126043718923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0363636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0909090909090909,0.1515151515151515,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,0.0227375391874703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0719465558029983,0.1102924505040276,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012794665012407,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1582210273557626,0.1178658102305627,,,,,,,,,,,,,,,,,,,,,,
psykose,cnn1d,subject_wise,54.0,1021.0,1021.0,0.0,0.3388834476003918,0.0,0.7373163565132222,0.0227852160996596,0.7001892528366518,0.0347101983876608,0.7008697126801446,0.0323853110030936,0.4084158070475444,0.0581850456946845,0.744456005138086,0.0318680318457347,0.652790045186732,0.0449725705726468,0.2127735492309748,0.0189130495860092,0.2487613252044783,0.1008722933724727,-0.4161448185743974,0.5967393001820475,0.1664307758527591,0.0322615025126877,54.0,0.0,0.4074074074074073,6.206335383118183e-17,0.7296296296296296,0.0384008173209772,0.7150568181818182,0.054927711815712,0.7133363339770826,0.052977807287719,0.4384274876967376,0.095813628699453,0.7886363636363637,0.030389097118161,0.777539723543485,0.0509561714087234,0.1860125427946695,0.0214983803590381,0.5441664212674258,0.1639676039912418,0.0506267673968573,0.4991244940867042,0.1743839125163622,0.04893434530802,54.0,0.0,0.7436267345550298,0.9097693433763688,0.8522797401277787,0.9755372606326068,0.7420156797796726,0.870954848062075,0.78125,0.9166666666666666,0.7064843249412757,0.8430020923203083,0.7554508114379387,0.911613394910826,0.1149928009307413,0.1862470276378071,0.104832550116423,0.1583707899371349,0.6060544444207224,1.76479688102706,1.8278386774325304,5.634126752271944,0.8488246628131021,0.921875,0.811949069539667,0.8518518518518519,0.7818958611481976,0.837593984962406,0.14602486468453996,0.13184793749461934,1.1766952375895914,2.662793070093689,-0.24422992395014165,0.03559565482640114,0.08460092768437191,0.1389668465618765
psykose,cnn1d,record_wise,54.0,1021.0,1021.0,0.0,0.3388834476003918,0.0,0.7275220372184134,0.0409339276892272,0.7513834296724471,0.0191858789041831,0.7190328758858646,0.0350098446324443,0.4805739578564859,0.0391550975813518,0.8343378291586383,0.0142660589597294,0.7300086265749509,0.0253511691037242,0.2201697104570623,0.0354029613530075,0.3942291108034622,0.0311247301963052,-2.3026537921557795,0.8819246306046191,0.2024749159542305,0.0612298455455443,54.0,0.0,0.4074074074074073,6.206335383118183e-17,0.8074074074074075,0.1076625322499898,0.834659090909091,0.0872487538095663,0.805187959821421,0.1088528412629401,0.6812619299079676,0.149940301991412,0.9758522727272728,0.0165956270533351,0.9719633686338062,0.0195751853493967,0.1361135696826267,0.028457987716387,4.434769223761478,1.3279098308199273,-0.95980280667549,0.3850874321360626,0.2427840220190033,0.0436002296874458,54.0,0.0,0.8362879311972233,0.9345704655000872,0.9631930843843628,1.0,0.6937265235947634,0.7966164534442115,0.8285714285714286,0.9428571428571428,0.6790990290758966,0.7986051014903095,0.8284506840998497,0.9444444444444444,0.1379747723762311,0.2007932022280986,0.1040891098647503,0.1516395062486072,0.8495977712098858,1.5013703628209931,3.4207183360249105,10.57142434069852,0.8915050310426033,0.9857954545454546,0.7492654260528894,0.8888888888888888,0.7425414887078218,0.8882758620689655,0.1666651551105327,0.1282994205401741,1.1444150873676329,4.645450068731048,-1.3740658357080393,-0.929007507392578,0.19954964086135218,0.2695045415517016
