series_hash,kept_in
1c845181bf961c03b40d27ee5b6eb63ca4f41d89b50cabd8a31c956f9ef1c87c,depresjon
1da7d4bea1aac10710d66673236e2b13f06b02d0c798536387fd763c78bb7bec,psykose
22fcdf38b3b0e06cf506907fe739db5bd8fdb3b283a793d46ba655b3b5635a5f,depresjon
26eab0d7c91f9838436fdbe00dd31726f6ac6a27453bad7c2d3c11946d715011,depresjon
2fde457959f4cb8eff0933c062ac4b1feb0d4b19acce5cf7079a27903b2a4645,depresjon
3597ded401b6172e01309cd9507fd228919d3091e7ab93834547e4b2a9a8bfe3,psykose
3b69d7d2b75199facda59ddf2bcfb3607d7e313f5f85a4f0d6dc6e21c6e744fc,depresjon
4468fd8784e199e50acb15d9b1fe4c3b89bc9f4878a2e44f38afc8123997add1,psykose
4fbdc96c9e7c457fcf69e5b56c9c29ebb86313f6cdf65efbbaea669b42060800,depresjon
52661cc6fb4ae6e3b977a806db80372788acf2a08921487586bed65517c734d1,psykose
5d5124702cd1d34337199f70630d706f15f82b833a4d3cbf896d4bce5ed16827,depresjon
60a15854062523854c62a990e18a3e4e0c7d01d61d1056a058614d07f14db6cf,depresjon
6e22e0e1ffbf7a3b00e45e83677fe996e7b000695da67bc5b9d920d25a5b576f,psykose
743568378429ef6afabe1d33d5d406c987246ec5d545b13d4f026a2eea71946e,psykose
747dbbc013481cb34f3d6bd3c297f8ccaaf835097001ebffef623b857c8cd99f,psykose
760d0049c25fe1b2304f49e1bea4ba76921fb3306938972b2bd1910cdba7aba8,psykose
77cc7f89050eedfe5f29b59b6a84003f8b9327074df40464919ae2c018b39db4,depresjon
8b64f200ef8ef7df530276bcd2a608527d7d3fbd45f37ca2608aaaa8b2b97a6d,psykose
9abc5b43b06e3b9b31f7065e62f83e589f6620648db944f2477e8d28ddf827e5,depresjon
a0f951860c1e75c9868e323d9e4b34764c421bfcf45f67fd422e24af8572ef96,psykose
aca6d8179d87871c303bfd838c7d6f6bc80ae91ef83e16c77072299109c0f706,psykose
bc75d05be75c326b9c7e54bc03e1e26510a2e4c964daa71dd9ff29aa9d518287,depresjon
bd536cc819c7609f709e835b6136bffd26bfa53f5d4bf89bf6e41bb9f83f3b0a,psykose
c15348b642ff6788b795bb086c9181d44dd90843edfff29dd3d1bb23058e6aff,depresjon
c4d1e392ccb96a7b1b7667e4bfc9d760ecac84a017c94e49cf94ee704f946c8f,psykose
c5eaf633e208e33459c70dc952b899bf5ce19196e33e3e54eb4d0a2643ce0e5e,depresjon
c8bb111ba69ef18dc860b78ff203684cd0db5b4aae2c966f6872a1b77f7e6449,depresjon
d141b0863c357767e4755e1a83dc39d96f046b9fe25177ac7c44a7441ee665ed,psykose
d6b22ecf1d7a5ac317ddc3d713a94c81e48f0ca43dd97b71fd0fe4bd6d961963,psykose
dfc3cb8b2c0077f94d8f9303ae0518b78dcaaec062ee297f0fc244222bff9e7a,depresjon
fae6a8a81d163230f71e52ab21a8a7d7e5f95c0f021707fde5b8cb93e7d32296,depresjon
fdea04780f81a37562a671d7b11570beca499b67db8f241ba5c98d46d27e353a,psykose
