cohort,model,sex,n_subjects,n_cases,auroc,auroc_lo,auroc_hi,brier,calibration_slope,calibration_intercept,ece
depresjon,logreg,female,30,10,0.7766150715791003,0.648710574322676,0.8717837780955753,0.18217554086956633,0.7519559063495741,-0.731233312180267,0.11960735902701107
depresjon,logreg,male,25,13,0.7757731958762887,0.5619633456520491,0.8823337435625574,0.1924739923585288,0.617820936029705,-0.24458666601522822,0.09109534968193465
depresjon,rf,female,30,10,0.7632003488118596,0.6227019904005741,0.8701563212017004,0.17086186235408868,0.7519253273680085,-0.30454475859753094,0.0710319398759516
depresjon,rf,male,25,13,0.7766522816271078,0.6262357723549208,0.8701224024981477,0.19306543271195045,0.7976456696270579,0.3785101758399305,0.07019293047694332
depresjon,xgboost,female,30,10,0.7545236538042293,0.6200700967795343,0.8592455465236867,0.18329856110199474,0.5145161749926772,-0.08220027316931731,0.10887703714388317
depresjon,xgboost,male,25,13,0.7720171022136976,0.619450991804087,0.868196244569414,0.20348225989486884,0.5484284374894507,0.6858573407861032,0.1202020055916372
hyperaktiv,logreg,female,41,21,0.478990990990991,0.3700938869125041,0.6018524877633858,0.27497696523259046,-0.10198381971591203,-0.16375639857641155,0.1524853438791968
hyperaktiv,logreg,male,44,24,0.4236710586097228,0.32079505497013444,0.5431442943199167,0.28318650225910424,-0.4899352776753966,0.1284938603588223,0.16824401991073437
hyperaktiv,rf,female,41,21,0.4910990990990991,0.3710108793205828,0.611022043500911,0.2690146420476161,-0.10219865423407562,-0.11341891975188739,0.111404134661276
hyperaktiv,rf,male,44,24,0.3983984552476147,0.2778268843849423,0.5162725338161701,0.2910400904827012,-0.8027115839406784,0.10850113475756491,0.16004822919504866
hyperaktiv,xgboost,female,41,21,0.4980900900900901,0.38473718135569607,0.6049656990690776,0.2925767341638701,-0.020355627554640324,-0.11456331498620646,0.21097220380635595
hyperaktiv,xgboost,male,44,24,0.38817582916855975,0.27790468049303246,0.5047561134275644,0.33153002069975973,-0.4442917461151707,0.10275528710144333,0.22970487022274436
psykose,logreg,female,23,3,0.9714271136282463,0.9154666348283081,0.9983174435014488,0.09550528619563516,1.5823948082770678,-2.35918155784415,0.1770876613413854
psykose,logreg,male,31,19,0.8899432215913511,0.770535615032487,0.9333949657030508,0.12635037036084412,0.8323671703479906,0.21668826661114704,0.08144612755961657
psykose,rf,female,23,3,0.9663248124904332,0.8910475589157393,0.9948208936101358,0.0749044529619986,1.6582656213798577,-1.7675631646313374,0.1473380236346639
psykose,rf,male,31,19,0.8742060096964042,0.7652595927285859,0.9296798316512516,0.14869397358706427,0.9014585183707539,0.675682061284409,0.1230236541218459
psykose,xgboost,female,23,3,0.9691821011276085,0.9043615617877517,0.996984558346684,0.058545829939772746,1.1596423020302118,-1.8668867368004292,0.09960418177366591
psykose,xgboost,male,31,19,0.8844987166524072,0.7736275776903175,0.9334319237443558,0.13970304017654153,0.7128563731175602,1.0519799682087843,0.12068852763363015
