arm,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,macro_auroc_ovr_mean,macro_auroc_ovr_sd,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,macro_auroc_ovr_ci_lo,macro_auroc_ovr_ci_hi
any_psychiatric_vs_control,majority,subject_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.6413390010626994,1.1702778228589004e-16,0.5,0.0,0.39074134023955975,0.0,0.0,0.0,0.4896590874221364,5.851389114294502e-17,0.6353954413491918,0.0,0.23006579506949848,1.6024689053196365e-17,0.2516095008323257,1.9843025916406203e-16,-0.00011606584254275939,1.5862151543795915e-17,2.6696858600794293e-05,0.0,162.0,0.0,0.8024691358024691,0.0,0.8024691358024691,0.0,0.5,0.0,0.44520547945205474,5.851389114294502e-17,0.0,0.0,0.4777644230769232,5.851389114294502e-17,0.7928367838291448,0.0,0.18451890514537966,1.3084103822364792e-17,0.6074196277848266,1.2819751242557092e-16,0.8204718689415997,1.2819751242557092e-16,0.16109319384307516,3.925231146709438e-17,162.0,0.0,0.35814522605028,0.6137496534163951,0.38582928830983537,0.5659137582263151,0.5395562106272564,0.741402264928889,0.7574582517851507,0.8529411764705882,0.3504817502281669,0.4257676723280666,0.4309964372087757,0.4603174603174603,0.20209958022234567,0.2590222629759271,0.17016234860284443,0.19726684836355907,-68.1068043608321,110.25132644188464,-55.57970537741733,74.28078261263884,,,,,,,,
any_psychiatric_vs_control,majority,record_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.6413390010626994,1.1702778228589004e-16,0.5,0.0,0.39074134023955975,0.0,0.0,0.0,0.4995028997514499,0.0,0.6411104478516151,1.1702778228589004e-16,0.23002340937922533,1.850371707708594e-17,0.25249966842790184,6.671610070811202e-17,8.255285518122028e-07,1.585686898618066e-17,1.8989080152742588e-07,0.0,162.0,0.0,0.8024691358024691,0.0,0.8024691358024691,0.0,0.5,0.0,0.44520547945205474,5.851389114294502e-17,0.0,0.0,0.5109975961538462,0.019992047395983516,0.8509942811727822,0.008120866337909524,0.18447487588953654,1.0520664964777171e-06,0.608979857076616,2.5128991034948225e-05,0.8206183450051432,5.2805943566722606e-06,0.1611302089130841,1.2147228139557823e-06,162.0,0.0,0.47007432127936144,0.5292941312535344,0.46430592608793403,0.6196588383645429,0.5395562106272564,0.741402264928889,0.7574582517851507,0.8529411764705882,0.3504817502281669,0.4257676723280666,0.4309964372087757,0.4603174603174603,0.20173785668666647,0.2587945378581215,0.1702073357423956,0.19719893912193043,0.06879615435270196,0.4572556572485589,0.4947324944761643,0.763694284223212,,,,,,,,
any_psychiatric_vs_control,logreg,subject_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.7411795961742826,0.006284268654041036,0.7317126024118569,0.007224202708918545,0.7253002502770528,0.006801080765513196,0.45352650406815487,0.013807423856792067,0.7953257847740035,0.010263309193963864,0.8606786209128325,0.013963900440211216,0.18267730072258853,0.004240633348228847,0.7822831744162053,0.06360624652222484,0.5665243616394007,0.018155851515203984,0.09389149441088698,0.002777573842990142,162.0,0.0,0.8024691358024691,0.0,0.787037037037037,0.012085740868797028,0.7742548076923077,0.01847001188312704,0.7198809902018392,0.014712318543739259,0.4711708913023078,0.03060474888416569,0.8674999999999999,0.019818671237463767,0.9648919765646442,0.01061786979347356,0.16191251333085593,0.004382566358437179,1.773069592527244,0.24435301086932623,1.2182661364676886,0.018532549752001453,0.2180743895574085,0.006265217298612542,162.0,0.0,0.7451919430019758,0.847762892247151,0.8288242922818775,0.9176648278488041,0.6925607443233808,0.7801726907233665,0.7359303300995375,0.8365384615384616,0.6737211376930738,0.7713206077494156,0.6610129279421536,0.7847874350863189,0.1572998927517675,0.20851069006694561,0.14398186142898528,0.17636932524262974,0.6036252672091548,1.0548124498330804,1.5041857495776008,2.645648792176214,,,,,,,,
any_psychiatric_vs_control,logreg,record_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.7564824654622742,0.0033703374691168774,0.74886685691491,0.003194268940017334,0.7417772328232427,0.003335320448603442,0.4867535994093101,0.006476397899309862,0.823888428610881,0.0021444432051468633,0.8838020121932972,0.0019645048949664162,0.17012087501499845,0.0011801200460240435,0.9275302210781786,0.014071597104311193,0.5768453451561337,0.009528294497934756,0.09475441820135463,0.0013876184310944381,162.0,0.0,0.8024691358024691,0.0,0.8111111111111111,0.013078393894708383,0.8316586538461538,0.016528586205152507,0.7578642273064127,0.015213966116890479,0.5604011244639616,0.02920807000995459,0.8992548076923077,0.005546180092431741,0.9749339340601209,0.0014643402824239375,0.15253992977556421,0.002429709864238549,2.3459642590382295,0.11552271985164572,1.2082839751367147,0.014773502889623695,0.21409311258265315,0.0023411980716373177,162.0,0.0,0.7766843979236557,0.8666177763800106,0.8625579205514012,0.9397245267992682,0.7102689107466248,0.7940054966957804,0.7623762376237624,0.8571428571428571,0.6911446799381998,0.7838031084325386,0.6995087978726215,0.816281904246698,0.14826860515803605,0.19174548792654986,0.1365952782460519,0.16736781706602907,0.7445935890277202,1.1631164100872793,1.837905559862254,3.31324853117098,,,,,,,,
any_psychiatric_vs_control,rf,subject_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.7389479277364506,0.0061049993793544635,0.6993479394887846,0.006087909093633555,0.7053178845151793,0.006431387716842304,0.4159495231316514,0.013195821676745071,0.7813541992696923,0.007455748355329337,0.8537976715499209,0.008993626873784306,0.179285582343904,0.0028780508325976727,0.7513361974597232,0.034913070239912754,0.10953092008655821,0.02263842400510922,0.03947189108063478,0.007410645736151846,162.0,0.0,0.8024691358024691,0.0,0.8364197530864198,0.014622088892543116,0.7402403846153847,0.01345495489193421,0.7413189212039925,0.017428333408793403,0.4833782886733193,0.03528793766083636,0.8570673076923077,0.011705960174887078,0.9585447916170604,0.007407450469208494,0.13662771275513666,0.0027271706243674615,2.1704649271405594,0.2123750216620913,0.8278999601010494,0.018337475547456135,0.15291051470340639,0.008991312790266612,162.0,0.0,0.7260359994965813,0.836835395078106,0.8112619418206938,0.9160038422787598,0.7005775673120878,0.7868744343237791,0.7857142857142857,0.875,0.6651463314370177,0.7542227217851926,0.6697361301903286,0.8017677575394935,0.15257277169834219,0.20244879021354595,0.12103400365905896,0.14973345509762165,0.5894962911213643,1.034342937987824,1.741333681705816,3.1388291194531566,,,,,,,,
any_psychiatric_vs_control,rf,record_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.7819341126461211,0.005279142695079466,0.7475528552579092,0.006155329279292615,0.754737530463284,0.006141203426036229,0.5141731089237526,0.012090647248795845,0.8494712326245052,0.00226915336012006,0.9086050263113454,0.0023690468726326134,0.15024775518527939,0.0009783330396831076,1.0723708380866381,0.01813502808796479,0.1256661602116548,0.0063737200324550155,0.03174208338635613,0.003678053772075608,162.0,0.0,0.8024691358024691,0.0,0.8851851851851851,0.010572207883675005,0.8189182692307693,0.012201634089982058,0.8190343498174878,0.014581974512433763,0.6384444474461287,0.029386718083089954,0.9413221153846155,0.0034435556456776525,0.9852509686904002,0.0009415157163141118,0.11602286783978284,0.0012053251391342208,3.8344850703616253,0.18300064373405728,0.8232937740391522,0.008500240388751013,0.18144041522260834,0.008580789425051473,162.0,0.0,0.8110735398052928,0.8873796928181531,0.917188719563774,0.9711906754533627,0.7436164503884442,0.8185321820575875,0.8282828282828283,0.9108910891089109,0.7172832162126986,0.7950022405605062,0.7385668610961833,0.8587944849052493,0.129778808707462,0.16928006406102158,0.10479497676434678,0.12750536844963772,0.8827111775100239,1.3278279041008558,3.0788268852651353,5.188528955690276,,,,,,,,
any_psychiatric_vs_control,xgboost,subject_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.733634431455898,0.0065079183393876895,0.6971317315658657,0.00763256418994489,0.7018947770828439,0.007593303923771682,0.407043955904926,0.014996740675406293,0.776238424008101,0.009152158977309678,0.8537893455984147,0.0110816595504025,0.18581005317263002,0.004160872164304238,0.6257360423174126,0.03725388068121596,-0.057640269866209,0.03636602890542938,0.06526340139924877,0.008162264130964662,162.0,0.0,0.8024691358024691,0.0,0.8271604938271604,0.012683979429977314,0.7238701923076923,0.017855847330787586,0.7254530111180872,0.018113606343623405,0.4514135071837197,0.0362243809677407,0.8560576923076925,0.01357543014357809,0.9594266418236979,0.008656596219280836,0.12987003750950576,0.0037617755880236677,1.7928055508515424,0.24304104553006314,0.702572872363563,0.029486759535368647,0.12321016515294711,0.00820893542815533,162.0,0.0,0.7290895158392287,0.8336304672600892,0.8102812621199338,0.9084742109194733,0.6866239925961661,0.7783613548757102,0.785473802044706,0.875,0.653577824352789,0.750503624568862,0.6697690081311976,0.797421645477651,0.15295687385504922,0.2103172772211132,0.11171896919391429,0.14335850736492145,0.5135675039681967,0.8825763024082025,1.497233486101641,2.6472102495641625,,,,,,,,
any_psychiatric_vs_control,xgboost,record_wise,162,1882,1882.0,0.0,0.6413390010626994,1.1702778228589004e-16,0.7806588735387885,0.0048750503914527284,0.7497256129368804,0.005873829656552759,0.7553845710643602,0.005725661803090556,0.5135375888262718,0.011200468066367465,0.8441404154776151,0.002898247267723503,0.9030053344849567,0.0029113285024040857,0.152285384847988,0.0014390589799582758,0.9022184637735462,0.01340235007931925,-0.035762123702306206,0.011353094467600532,0.026266045137095757,0.0035089001122399744,162.0,0.0,0.8024691358024691,0.0,0.8679012345679012,0.007808092988070076,0.788125,0.00486504255410523,0.7902795385821488,0.009293378863241964,0.5808192203141822,0.018925241922551985,0.9425240384615383,0.005112468342454274,0.986015947301383,0.001454850323001781,0.10668908697712116,0.0016838380003985204,3.4421547357753823,0.17037396360683152,0.6943454554406251,0.013693624456095585,0.1563679320760715,0.013130777416821896,162.0,0.0,0.8099727699707583,0.8853882161778902,0.9179065963705536,0.9721857816143847,0.7432792500783381,0.8171267347339851,0.8235294117647058,0.9056717431282046,0.7174845812075373,0.7957634486542982,0.7237498835998017,0.849383862156703,0.12833264415156903,0.17190400341130915,0.09397276280319226,0.11817213810026618,0.7933862736234802,1.1248940891645183,2.85227735854587,4.864355469388071,,,,,,,,
five_class,logreg,subject_wise,162,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7132501560842004,0.006750469898866636,0.4312964930924548,0.0066462377894803285,0.3899748959815963,0.0062776574748616195,0.677098021188678,0.749642019382977
five_class,logreg,record_wise,162,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7703835375234117,0.0026338816670918915,0.48443145589798087,0.005544907693175164,0.4438990368591972,0.004903048939991076,0.7403307936300317,0.7990788166652624
