cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
depresjon,majority,subject_wise,55.0,440.0,440.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.45516304347826086,0.0,0.3992094861660079,0.0,0.24442148760330568,3.1031676915590914e-17,-4.06012431126328,6.327297285568803e-15,-2.1913934841199353e-16,1.8185994600338302e-17,0.0,0.0,55.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.45516304347826086,0.0,0.3992094861660079,0.0,0.2444214876033058,3.3993498887762956e-17,-4.059992689148933,8.72496861620875e-15,-2.340806676219021e-16,1.4848802411946298e-17,1.9984014443252818e-16,3.0404709722440586e-17,55.0,0.0,0.23926842825848604,0.5456116597472764,0.27880284954012374,0.4978565542704351,0.43636363636363634,0.6909090909090909,0.48333575296325004,0.6666666666666666,0.3037974683544304,0.40860215053763443,0.3258392981836422,0.4,0.2243063057602257,0.2653856842680397,0.2294283415749743,0.2603769928326845,-50.553013672837416,9.359561505093934,-47.257398111500216,-2.0138726963118216
depresjon,majority,record_wise,55.0,440.0,440.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.4962635869565217,6.206335383118183e-17,0.416403162055336,0.0,0.24331740702479338,3.1031676915590914e-17,0.09817130352652563,0.0,1.659309522779206e-16,0.0,1.1102230246251565e-16,0.0,55.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.48695652173913045,0.013934084696454841,0.42269435552105233,0.020832461516681618,0.24331626152651906,4.462487316607079e-08,0.09817250376553412,1.1653088937550926e-07,-2.4889522829439382e-17,2.828731886460969e-17,2.2204460492503132e-17,3.040470972244059e-17,55.0,0.0,0.4312740272192049,0.5349925874528342,0.33038561397087485,0.5871177885407628,0.43636363636363634,0.6909090909090909,0.48333575296325004,0.6666666666666666,0.3037974683544304,0.40860215053763443,0.3258392981836422,0.4,0.22365682761872616,0.2641541759935437,0.22939770753980068,0.2594464710165605,-0.07645232374744433,0.2651965931277045,-0.0329342590509082,0.20907098269417806
depresjon,majority,inflation,,,,,,,,,,,,,,,0.0998641304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.046529676558123276,0.26059123216711955,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0747282608695653,,,,,,,,,,,,,,,,-0.12410511363636365,0.2588616071428571,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
depresjon,logreg,subject_wise,55.0,440.0,440.0,0.0,0.41818181818181815,0.0,0.5845454545454546,0.034370069142970326,0.579993206521739,0.03855677660779494,0.5778808100143428,0.03703100488209856,0.15827718486534775,0.07594035350103852,0.6253057065217391,0.02802852774020801,0.4916678655638516,0.03741683920179677,0.2689833591520892,0.017696212954161492,0.298213659751532,0.07994985794906054,-0.30014610387202506,0.06069317333413081,0.18644509031214304,0.038098030624084726,55.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.036363636363636376,0.5758152173913043,0.038389464178964716,0.5742258810539822,0.03759369455477298,0.15041930340124948,0.07597872513702392,0.6309782608695652,0.02486078915539711,0.5197092867902999,0.05211488153721154,0.2641942780537309,0.017855426655690416,0.32995645265330287,0.09072596263714691,-0.2916174163464456,0.05803741125342674,0.2295867143296491,0.04206853934560746,55.0,0.0,0.46707362881284226,0.7613110482282938,0.5154570137008923,0.7408182790796217,0.47410090342951755,0.704060226502153,0.4853335629938161,0.686798279327182,0.47214838462747094,0.7004224076762047,0.4829467140524162,0.6761355838195402,0.20239868974116762,0.324817488947243,0.21076195007986778,0.3063968582236468,0.05691473793812234,0.689144113072137,0.1365313082635183,0.6480818794454023
depresjon,logreg,record_wise,55.0,440.0,440.0,0.0,0.41818181818181815,0.0,0.7195454545454545,0.009315409787236037,0.7287194293478262,0.009447843810692453,0.7184068226745939,0.009313658675343442,0.451635351962408,0.01863200214336534,0.7881156589673914,0.002242444829646293,0.7061109501027882,0.006435647517706758,0.1850169880518831,0.0010593443167419153,0.8810173415002367,0.012694999366688603,-0.3297582889821511,0.010853799017037395,0.10362820366030241,0.0065205016471512394,55.0,0.0,0.41818181818181815,0.0,0.7236363636363637,0.015212000482437742,0.7368206521739131,0.018188261446392948,0.7231278462102351,0.015553808683765696,0.46915717268833823,0.03733991260357989,0.7894021739130436,0.002541886811667054,0.7260402132318671,0.010195457359416992,0.18071678356123494,0.001104025963549814,0.9868243036756921,0.013515383635600793,-0.3215076604727061,0.010587751846888961,0.16558581093940034,0.0213428811954572,55.0,0.0,0.6558887530052921,0.8792749155310416,0.6904192879823301,0.8681172586508413,0.615909090909091,0.8181818181818182,0.6363636363636364,0.8056911585778436,0.6127878858183151,0.8173744418266243,0.6429418347691441,0.8103511114517349,0.14081259731251297,0.23929269292606417,0.14365332305591322,0.21998366147897522,0.485070279498685,1.4156996562313113,0.6594885499774743,1.5150074191464031
