cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
depresjon,cnn1d,subject_wise,55.0,440.0,440.0,0.0,0.41818181818181815,0.0,0.5443181818181818,0.06910361725232164,0.5342646059782609,0.011949239933434382,0.4668213032504406,0.010762893432597263,0.09689634310295296,0.007255553273461981,0.5673934273097827,0.08017699809607144,0.48996575408806164,0.047773049224886274,0.42615410164575995,0.058374335629671446,0.05019780935128263,0.051539499613635256,39994.76383108409,56552.7139940401,0.42583254018863137,0.07319311446224899,55.0,0.0,0.41818181818181815,0.0,0.5545454545454546,0.08999540851465149,0.5438179347826086,0.008166314728377175,0.47715102835584766,0.010541630850109745,0.13963278223088726,0.06895988099585415,0.5665760869565217,0.08646686182987677,0.5036995067310187,0.014521867790973043,0.4208633779341613,0.059507900092839856,0.060305159858618756,0.07026375638427315,0.25618428782841596,7.659032049007869,0.4476390964676005,0.04098628563635051,55.0,0.0,0.4529628185766891,0.7229711699452281,0.4989946967361344,0.7175107116459775,0.4970793410118847,0.7206610780260742,0.4942369977700107,0.7591651239418585,0.4725952501329227,0.698207164822841,0.46768081289484525,0.7400338499888869,0.21749193148157023,0.3324877601522969,0.22974174751289103,0.29787551815691543,-0.13220720336172276,0.44757100320721566,-0.07457964131382168,0.4201590304597466
depresjon,cnn1d,record_wise,55.0,440.0,440.0,0.0,0.41818181818181815,0.0,0.5272727272727272,0.0835671650493192,0.5303158967391304,0.015732165138491433,0.4206232134076723,0.04407962866611143,0.12038938954692792,0.07493725753502532,0.6221711531929348,0.08207596650257837,0.5210534987462433,0.06885981850286084,0.4166205187459683,0.08673229102872691,0.16939137279343275,0.1418572566940229,7.927519672499383e+197,inf,0.4115448642529915,0.11753929506773746,55.0,0.0,0.41818181818181815,0.0,0.5,0.1157083823759805,0.5,0.0,0.33134394341290896,0.051579407115729586,0.0,0.0,0.6582880434782609,0.07589868982844729,0.609535833693329,0.04626495105872296,0.3888779546854232,0.10240759718039961,0.5063802297811477,0.05684018995054174,2.631461300825883e+61,3.72144826048791e+61,0.39112738351845605,0.14641397256149086,55.0,0.0,0.5508600693451055,0.6900089692114246,0.5721577498419265,0.7546454291511264,0.5527913940970484,0.6522727272727272,0.47303707527222855,0.6470588235294118,0.5473569213957165,0.6539815361396792,0.47269144107771327,0.638924357528402,0.23290584184163268,0.2658097563396977,0.22069141109243087,0.2472062124844988,0.24660156495479207,0.8637001127269431,1.3426263051574834,3.774050795391066
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,0.046174422554347894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07045864798622148,0.1703355465162993,,,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07608695652173902,,,,,,,,,,,,,,,,-0.0838186813186813,0.23749999999999996,,,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,0.03409090909090906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08539772727272725,0.1319318181818181,,,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13892045454545457,0.15253456221198144,,,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,0.05024440906599148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06436357809048074,0.14694002955254112,,,,,,,,,,
depresjon,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01863648685280561,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11438917309250697,0.16969574780058647,,,,,,,,
psykose,cnn1d,subject_wise,54.0,432.0,432.0,0.0,0.4074074074074074,0.0,0.49189814814814814,0.05401510134063901,0.5064808238636364,0.054363855868923144,0.4917727073754226,0.05390394322872237,0.012753725413498306,0.1081302377201076,0.5666226473721591,0.024019596249245684,0.49092400425454025,0.0306775919797146,0.4530073532203445,0.07468845492709725,0.034077318769171056,0.02782431434244265,-3.84869087848615,2.8416133876793777,0.4624996359993782,0.08043052169117625,54.0,0.0,0.4074074074074074,0.0,0.48148148148148145,0.05237828008789241,0.49502840909090906,0.049216239031450025,0.4811507936507936,0.05191061687282191,-0.01027648328996043,0.09796111860115185,0.5688920454545455,0.015066195621872419,0.5281031924923913,0.03497046030450489,0.4472839230337101,0.07918783713301866,0.0399410197338331,0.03342781331129546,-3.597891271672124,2.824665408166177,0.4609789085863869,0.08601587987045568,54.0,0.0,0.43456499288951556,0.7294135613404863,0.46668812036748,0.6893417734464574,0.4245159398566215,0.6504629629629629,0.45110778547610797,0.6574387599682356,0.4204810878431824,0.6416303124463262,0.4288461538461539,0.6624046078963837,0.2522349026250366,0.42260676541594644,0.2692299469623289,0.3974692159343677,-0.14403276581723123,0.34924652026570735,-0.12102736774733437,0.3021460029887538
psykose,cnn1d,record_wise,54.0,432.0,432.0,0.0,0.4074074074074074,0.0,0.5127314814814815,0.1325825214724777,0.5165127840909092,0.009541923893852595,0.37505603663428444,0.0905450021119704,0.09925216315274896,0.013475211313465593,0.6579867276278408,0.09596068034368666,0.5507523269381882,0.06875427661511763,0.45549295031623427,0.14327005511873547,0.2353403442324768,0.20689709519946847,801225009211.8209,1133103274533.3557,0.45867006816021993,0.15690950081053245,54.0,0.0,0.4074074074074074,0.0,0.5,0.130945700219731,0.5,0.0,0.33078335373317014,0.05842069489607338,0.0,0.0,0.7713068181818181,0.020088260829163304,0.6462115057636537,0.029341422660724426,0.43957186189007413,0.15923191451595795,0.7069439663856508,0.007250654067631155,819679503.3782058,1159201866.97947,0.4534735550556366,0.1642584860713746,54.0,0.0,0.5957410101481072,0.7429710203141615,0.6807218481015853,0.8559765434580491,0.5503983829002105,0.6832671964701261,0.5454545454545454,0.7368409093901613,0.5447086127279908,0.6867477322560784,0.5029737531561792,0.7294223520586898,0.23311652322635948,0.2591673227091835,0.22558688432085577,0.2469496895802816,0.24901473760928264,1.4396122572171823,2.957374220304585,10.276410346533122
