series_hash,kept_in
02bd1841654de23f2a4d27cf550f7cec575f410eb9f00f46792595768df4e89d,depresjon
0a4a27f4145e4e990dadbbe0cfe5769577bef3980ad64e759c563d0bc1ec981a,psykose
1541b1f8a4655fec944e39619d36a32645ae7cfff209f69a94bf5d3c1c2a7f5c,depresjon
22755feee32dbc1d1d137fce8d0c7d0297fc5db1e945ab35401887f7618dfaa7,depresjon
2a6b6ed070a684f6bdf6e29adaea54687d348b8374b8064aca956bccf5f44eb5,depresjon
343415513deec8a065339bbb51f8e6df936c81630954e1c37003b00fdce7fa14,psykose
3b44eb158cb5b598776c774f7bad64d97fb0f3686722c7eaa73391e3e0be597c,depresjon
4a39b0f4fc9317e75fa5b629946c3bb7f8943db0c4c67b03e8740862a91e8b64,psykose
4c7dd50947ac8c4277286ee0eca372ad9d64243e32068b33e13390347e8a9cac,depresjon
5c3b1e20abc40ed8d2747c5cf32e6c6f0f8e985d30318f7cb9276041b3c00f5c,psykose
6ef3e997bc0a77453b3ad83dc59b559e84ff1f7d215f19ffea500777851389f5,depresjon
72c4b4b2169ea40065b4499aafa6234b480f59eb428a35996a5398160377a82a,depresjon
7f748e8d87c436e6fef866c9324651527e7a75e222bf7ea68198ef53d76c6570,psykose
7ff47947e3b83c8c69f615ff5547732a4c60767fa43cd90991a04908fb772a87,psykose
939a14312b2cc31da3ea90edd75fbaf73c52918da6a907f8d27ef477529c0bf2,psykose
a3d1c4b784592e09a1243f695ea29e9b858893be6beb98558ab22ea5408799f1,psykose
a9c0fe107b7fd80af60f4db42ad380829ba373f9fd05468c8787f5e77ba60aa9,depresjon
ab8257a14f1368c1ded0b9ba0b876099b937fe42af01e8a343dfb649f3d6adff,psykose
b1593c2531ae653d59bff3bae01f1a7678b67e3802344ebfae41d9ba4cce6f65,depresjon
c51816dd60230bb96d2372e0bb2add7c59ff5570fb37241b794b33d2eae924ff,psykose
c8fb50a44c309656c02f9c02c939715538cb9b6a205827fe8d58f0ece4c4754e,psykose
d2a79b9ab97d4590b369a63905df11e6ef896a4d031fafb7a2ce7696055925a9,depresjon
d6a8276fdd3d75fcb67d394e8854114300b89486bb959593b80e6a8c1b1a8fa0,psykose
d988590e4cce03d5a39ebe12037c707d58cc90fa26b151e09b3a4a00e6a0cd7e,depresjon
daaf1d8897de3e8de90e5ee1b6cf667d6a2cb1ac62f35174d17193ce1c71cacd,psykose
dbe1f9e63564ed0d331558d30f490d74e01eb9f09edf49975224c62830dac805,depresjon
e33434b5593f93a015c30df7703a8bfe70b4ca1012d515a481e3dc44035f372b,depresjon
e702e384b6def961d5ec9401bf7197cb1e2e38dbfe6398687e085355e271bbf6,psykose
e82b733858aba44a572a6b3959a7fe73162b730ed0128974a7e6356a35287e8c,psykose
ef154a3c4e80b623c269c2d69cb20d2161a46174188052dc102151e15b81e783,depresjon
f17e0b304dbeec046fbfd9849d0d8adb74afb544c405199ab6350615e24cf89a,depresjon
f31e773a77204e87cd1320039f35a83a396d9835eabc478cab030be3e01489b2,psykose
